"accession","name","pfam_description","Source Database"
"PF21510","PirA-like","This family includes PirA from Vibrio parahaemolyticus. PirA is a plasmid-encoded homolog of a Photorhabdus insect-related (Pir) protein. It folds into an eight-stranded antiparallel beta-barrel with jelly-roll topology [[cite:PUB00151821]].","PFAM"
"PF22826","PL28 ulvan lyases","This entry represents the PL28 family of ulvan lyases. These enzymes degrade ulvan next to either epimer of uronic acid. They adopt a beta-sandwich structure with a jelly-roll topology containing a deep positively charged cleft that defines the substrate binding site [[cite:PUB00154170]].","PFAM"
"PF21876","C381 turret protein 2nd galactose-binding domain-like","This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein second jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions.","PFAM"
"PF21878","C381 turret protein 1st galactose-binding domain-like","This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein first jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions [[cite:PUB00154247]].","PFAM"
"PF21879","C381 turret protein Nucleoplasmin-like/VP domain","This entry represents the Sulfolobus turreted icosahedral virus (STIV) turret protein third jelly roll domain. The C381 turret protein is a component of the STIV virion vertex complex, which orchestrates virion assembly by coordinating interactions of the membrane and various protein components involved. The turret protein is apposed on the penton base C-terminal jelly-roll ring and forms a pentamer consisting of three consecutive layers of jelly-rolls, with each jelly-roll exhibiting different orientations. The interior of the C381 pentamer harbors two rather large cavities, which exhibit an overall positive electrostatic potential, suggesting that the turrets may act as STIV receptor-binding proteins carrying out recognition and attachment to the host receptors. The turret protein shares similarity with many carbohydrate-binding modules as well as domains involved in protein-protein interactions.","PFAM"
"PF23891","Family of unknown function (DUF7243)","This family of phage proteins adopt a structure composed of a pair of jelly roll fold domains with one nested within the other. This fold is suggestive of a phage head structural protein. Structure predictions suggest that these proteins can form pentameric or hexameric arrangements mediated by the outer of the two domains.","PFAM"
"PF22825","HpiC1 cyclase","This entry represents the homologues of HpiC1, a Stig cyclase that catalyzes the formation of 12-epi-hapalindole U. This enzyme folds into a beta-sandwich with jelly-roll topology that is distantly related to galactose-binding domains. HpiC1 has two integral Ca2+ ions, each with octahedral coordination geometry. Ca2+ ions are required for catalytic activity.","PFAM"
"PF17291","N-terminal domain of M60-like peptidases","This accessory domain has a jelly roll topology.","PFAM"
"PF17996","Carbohydrate esterase 2 N-terminal","This is the N-terminal beta-sheet domain with jelly roll topology found in CE2 acetyl-esterase from the bacterium Clostridium thermocellum. This enzyme displays dual activities, it catalyses the deacetylation of plant polysaccharides and also potentiates the activity of its appended cellulase catalytic module through its noncatalytic cellulose binding function. This N-terminal jelly-roll domain appears to extend the substrate/cellulose binding cleft of the catalytic domain in C.thermocellum [[cite:PUB00050086]].","PFAM"
"PF21915","Sputnik virophage major capsid protein 1st domain","This entry represents the first jelly roll domain in the sputnik virophage major capsid protein [[cite:PUB00151820]]. Sputnik is a dsDNA virus, referred to as a virophage, that is co-assembled with Mimivirus in the host amoeba. The capsid is organized into a T = 27 lattice in which there are 260 trimeric capsomers and 12 pentameric capsomers. The trimeric capsomers consist of three double jelly-roll major capsid proteins creating pseudohexameric capsomer symmetry.","PFAM"
"PF21881","A223 penton protein second domain","This Pfam entry represents the Sulfolobus turreted icosahedral virus (STIV) penton protein second jelly roll domain. STIV is a virus that infects the archaeon Sulfolobus solfataricus and was isolated in acidic hot springs. The virus has a unique architecture based on a pseudo T = 31d capsid symmetry with each icosahedral asymmetric unit consisting of 15 copies of the coat subunit (B345), one copy of the A223 penton base protein, one copy of the C381 turret protein, and one copy of the A55 membrane protein. The pentameric penton base protein is a crucial component of the virus as it forms the vertices of the capsid shell and decorates the penton base structure forming the first floor of the turret. The penton protein contains three different layers, with the N termini forming a 10-stranded beta-pore, the middle layer comprising a canonical viral jelly-roll forming a pentameric ring, and the C-terminal forming a second pentameric ring of jelly-rolls. The virus shares the same coat subunit and penton base protein folds as some eukaryotic and bacterial viruses, suggesting that they derive from a common ancestor predating the divergence of the three kingdoms of life. The conservation of the A223 penton base jelly-roll fold, as well as the B345 double jelly-roll fold, strongly suggests an evolutionary connection for these protein modules among phages, archaeal viruses, and eukaryotic viruses.","PFAM"
"PF14099","Polysaccharide lyase","This family includes heparin lyase I, EC:4.2.2.7. Heparin lyase I depolymerises heparin by cleaving the glycosidic linkage next to an iduronic acid moiety [[cite:PUB00059171],[cite:PUB00058614]]. The structure of heparin lyase I consists of a beta-jelly roll domain with a long, deep substrate-binding groove and an unusual thumb domain containing many basic residues extending from the main body of the enzyme [[cite:PUB00058614]]. This family also includes glucuronan lyase, EC:4.2.2.14 [[cite:PUB00050480]]. The structure glucuronan lyase is a beta-jelly roll [[cite:PUB00050479]].","PFAM"
"PF14717","Domain of unknown function (DUF4465)","A large family of uncharacterized proteins mostly from  human gut bacteroides, but also some environmental  and water bacteria (Planctomycetes) as well as  metagenomic samples Most proteins from this family are secreted or  located on the outer surface and may participate  in cell-cell interactions or cell-nutrient interactions This function is supported by a solved structure of a Bacteroides ovatus homolog, which adapts a galactose binding (jelly-roll) beta barrel structure","PFAM"
"PF21294","Polysaccharide lyase 14","This protein family includes Alginate lyase from the mollusc Aplysia kurodai (AkAly30) and similar proteins from prokaryotes, eukaryotes and some viral species. AkAly30 degrades alginate by cleaving the glycosidic bond through a beta-elimination reaction. This enzyme adopts a beta-jelly roll fold comprising two antiparallel beta- sheets. Some beta strands of the first sheet twist to form an electropositive-rich cavity where the substrates are believed to be located [1-3].","PFAM"
"PF22446","Head N-terminal domain","This entry represents a compact jelly-roll beta-sandwich domain (head domain) of the polysaccharide receptor-binding protein from  Lactococcus phage 1358 [[cite:PUB00154031]].","PFAM"
"PF22031","Major capsid protein V20 C-terminal domain","This is the C-terminal domain of major capsid protein V20. This domain folds into a beta-sandwich with a jelly-roll topology [[cite:PUB00151820]].","PFAM"
"PF02837","Glycosyl hydrolases family 2, sugar binding domain","This family contains beta-galactosidase, beta-mannosidase and beta-glucuronidase activities and has a jelly-roll fold. The domain binds the sugar moiety during the sugar-hydrolysis reaction.","PFAM"
"PF16024","Domain of unknown function (DUF4785) N-terminal domain","This family of proteins is found in bacteria. Proteins in this family are typically between 392 and 442 amino acids in length. This entry represents the N-terminal jelly roll domain.","PFAM"
"PF21615","Carbohydrate binding module-like","This domain is found in a a group of bacterial proteins, including the uncharacterised Fibronectin type-III domain-containing protein from Agathobacter rectalis (Swiss:C4ZEB7). It adopts a jelly roll structure.","PFAM"
"PF22633","NedA-like, galactose-binding domain","This galactose-binding domain is found in Sialidase from Micromonospora viridifaciens (NedA), which releases sialic acids for use as carbon and energy sources. This domain shows a jelly-roll topology [[cite:PUB00014146]].","PFAM"
"PF01238","Phosphomannose isomerase type I C-terminal","This is the C-terminal domain of Phosphomannose isomerase type I enzymes (EC 5.3.1.8), which contains antiparallel beta-strands in an extended jelly roll topology with short loops connecting the strands [[cite:PUB00003929]].","PFAM"
"PF16353","Beta-galactosidase, domain 4","This entry represents domain 4 found in beta-galactosidase [[cite:PUB00004183]] and it is organised in a jelly-roll type barrel (Rutkiewicz-Krotewicz M. et al. Crystals 2018, 8(1), 13, https://doi.org/10.3390/cryst8010013).","PFAM"
"PF20511","Phosphomannose isomerase type I, catalytic domain","This entry represents the catalytic domain of Phosphomannose isomerase type I enzymes (EC 5.3.1.8) which contains a zinc-binding site. It is composed of beta-strands connected by long loops in a jelly roll conformation [[cite:PUB00003929]].","PFAM"
"PF09083","Domain of unknown function (DUF1923)","Members of this family are found in maltosyltransferases, and adopt a secondary structure consisting of eight antiparallel beta-strands, which form an open-sided 'jelly roll' Greek key beta-barrel. Their exact function is, as yet, unknown [[cite:PUB00025274]].","PFAM"
"PF22237","SO2946-like, C-terminal domain","This entry represents the C-terminal domain of SO2946 from Shewanella oneidensis MR-1. The SO2946 protein consists of a short helical N-terminal domain and a large C-terminal domain with the jelly-roll topology, identified as a putative carbohydrate-binding module [[cite:PUB00047012]].","PFAM"
"PF18628","Viral coat protein P2 N-terminal domain","P2 (30.2 kDa) is the major outer-coat protein of the marine lipid-containing bacteriophage PM2. Each sub-unit of P2 is composed of two beta barrel jelly rolls, disposed normal to the surface of the capsid, which lend pseudo-6-fold symmetry to the molecules, facilitating their close packing within the capsid. There is a Ca2+ ion located between the two beta barrels of P2 that helps PM2 molecular organizations stabilization. This entry represents the N-terminal jelly roll domain of P2 [[cite:PUB00049918]].","PFAM"
"PF13364","Beta-galactosidase second all-beta domain","This domain is the second all-beta domain from beta galactosidase enzymes which has a jelly roll fold [[cite:PUB00031444]]. These enzymes consist of a TIM-barrel catalytic domain and two all-beta domains (ABD), ABD1 is represented in Pfam:PF21317 and this entry represents ABD2.","PFAM"
"PF09144","Yersinia pseudo-tuberculosis mitogen","Members of this family of Yersinia pseudo-tuberculosis mitogens adopt a sandwich structure consisting of nine strands in two beta sheets, in a jelly-roll topology. As with other super-antigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].","PFAM"
"PF18666","Carbohydrate-binding module 64","Spirochaeta thermophila secretes seven glycoside hydrolases for plant biomass degradation that carry a carbohydrate-binding module 64 (CBM64) appended at the C-terminus. CBM64 adsorbs to various beta1-4-linked pyranose substrates and shows high affinity for cellulose. Structure analysis indicates a jelly-roll-like fold corresponding to a surface-binding type A CBM [[cite:PUB00091576]].","PFAM"
"PF22405","Sulfolobus turreted icosahedral virus 1-like, major capsid protein","This entry represents a jelly-roll domain present in the major capsid protein from Sulfolobus turreted icosahedral virus 1. The structure of this domain is similar to major capsid protein structures of the  eukaryotic Paramecium bursaria Chlorella virus, and the bacteriophage PRD1, and shows a common fold with the mammalian adenovirus [[cite:PUB00039590],[cite:PUB00154247]].","PFAM"
"PF18099","Carbohydrate binding module (family 35)","This is a delta4,5-anhydrogalacturonic acid-specific carbohydrate-binding module family 35, which is found in several prokaryotic proteins. Its crystal structure shows a jelly roll/beta-sandwich fold with 2 antiparallel sheets made of 4 and 5 antiparallel beta-strands [[cite:PUB00054441]]. It is also found at the end of a family of putative glycosyl hydrolases.","PFAM"
"PF09101","Exotoxin A binding","Members of this family are found in Pseudomonas aeruginosa exotoxin A, and are responsible for binding of the toxin to the alpha-2-macroglobulin receptor, with subsequent internalisation into endosomes. The domain adopts a thirteen-strand antiparallel beta jelly roll topology, which belongs to the Concanavalin A-like lectins/glucanases fold superfamily [[cite:PUB00010690]].","PFAM"
"PF09113","Peptide-N-glycosidase F, C terminal","Members of this family adopt an eight-stranded antiparallel beta jelly roll configuration, with the beta strands arranged into two sheets. They are similar in topology to many viral capsid proteins, as well as lectins and several glucanases. The domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].","PFAM"
"PF09112","Peptide-N-glycosidase F, N terminal","Members of this family adopt an eight-stranded antiparallel beta jelly roll configuration, with the beta strands arranged into two sheets. They are similar in topology to many viral capsid proteins, as well as lectins and several glucanases. The domain allows the protein to bind sugars and catalyses the complete removal of N-linked oligosaccharide chains from glycoproteins [[cite:PUB00035451]].","PFAM"
"PF17994","Galactofuranosyltransferase 2 N-terminal","This is the N-terminal beta-barrel domain found in the polymerizing galactofuranosyltransferase GlfT2 (Rv3808c). This enzyme synthesizes the bulk of the galactan portion of the mycolyl-arabinogalactan complex, which is the largest component of the mycobacterial cell wall such as in Mycobacterium tuberculosis. The N-terminal domain contains two short helices preceding a 10-stranded beta-sandwich with jelly roll topology [[cite:PUB00061227]].","PFAM"
"PF03633","Glycosyl hydrolase family 65, C-terminal domain","This family of glycosyl hydrolases contains vacuolar acid trehalase and maltose phosphorylase.Maltose phosphorylase (MP) is a dimeric enzyme that catalyses the conversion of maltose and inorganic phosphate into beta-D-glucose-1-phosphate and glucose.  The C-terminal domain forms a two layered jelly roll motif.  This domain is situated at the base of the catalytic domain, however its function remains unknown [[cite:PUB00008368]].","PFAM"
"PF23032","ELAPOR1-like, galactose-binding domain","This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).","PFAM"
"PF21507","Sputnik minor capsid protein V18/19","This entry includes Sputnik virus minor capsid proteins, such V19. Sputnik  is a dsDNA virus, referred to as a virophage, that is coassembled with Mimivirus in the host amoeba [[cite:PUB00151820]]. It is an icosahedral virus and its capsid contains a major protein (V20) and two minor proteins (V18/19). Proteins in this entry have a single jelly-roll structure [[cite:PUB00151820]].","PFAM"
"PF23031","ELAPOR1-like, galactose binding domain","This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).","PFAM"
"PF16530","Infectious hypodermal and haematopoietic necrosis virus, capsid","IHHNV_capsid is the single capsid protein of infectious hypodermal and haematopoietic necrosis virus, found particularly in shrimp densovirus. Densoviruses are a subfamily of the parvoviruses.  The capsid protein has an eight-stranded anti-parallel beta-barrel 'jelly roll' motif similar to that found in many icosahedral viruses, including other parvoviruses. The N-terminal portion of the IHHNV coat protein adopts a 'domain-swappe' conformation relative to its twofold-related neighbour.  The loops connecting the strands of the structurally conserved jelly roll motif differ considerably in structure and length from those of other parvoviruses. IHHNV was first reported as a highly lethal disease of juvenile shrimp in 1983, and has only one type of capsid protein that lacks the phospholipase A2 activity that has been implicated as a requirement during parvoviral host cell infection. The structure of recombinant virus-like particles, composed of 60 copies of the 37.5-kDa coat protein is the smallest parvoviral capsid protein reported thus far. The small size of the PstDNV capsid protein makes the system attractive as a model for studying assembly mechanisms of icosahedral virus capsids [[cite:PUB00076301]].","PFAM"
"PF14683","Polysaccharide lyase family 4, domain III","CBM-like is domain III of rhamnogalacturonan lyase (RG-lyase). The full-length protein specifically recognises and cleaves alpha-1,4 glycosidic bonds between l-rhamnose and d-galacturonic acids in the backbone of rhamnogalacturonan-I, a major component of the plant cell wall polysaccharide, pectin. This domain possesses a jelly roll beta-sandwich fold structurally homologous to carbohydrate binding modules (CBMs), and it carries two sulfate ions and a hexa-coordinated calcium ion.","PFAM"
"PF20510","Homogentisate 1,2-dioxygenase N-terminal","Homogentisate dioxygenase cleaves the aromatic ring during the metabolic degradation of Phe and Tyr. Homogentisate dioxygenase deficiency causes alkaptonuria.  The structure of homogentisate dioxygenase shows that the enzyme forms a hexamer arrangement comprised of a dimer of trimers. The active site iron ion is coordinated near the interface between the trimers [[cite:PUB00009903]]. This entry represents the N-terminal domain which forms a jelly roll of beta-strands [[cite:PUB00009903]].","PFAM"
"PF17991","Thioredoxin like C-terminal domain","This is the C-terminal thioredoxin like domain found in Rv2874 in the pathogenic bacterium Mycobacterium tuberculosis [[cite:PUB00091401]]. Structure analysis of Rv2874-C shows the presence of a C-terminal domain formed by the 128 residues Thr568-Gly695. These residues form a jelly-roll structure in which two antiparallel beta-sheets sandwich a hydrophobic core. This domain is combined with a second domain with a carbohydrate-binding module (CBM) fold [[cite:PUB00091402]].","PFAM"
"PF21307","Glycoside hydrolase family 95, C-terminal domain","This domain is found in Alpha-fucosidase from Bifidobacterium bifidum (AfcA) and in other members of the glycoside hydrolase family 95 from bacteria and plants. AfcA hydrolyses the glycosidic linkage of Fuc1-2Gal via an inverting mechanism. This entry represents the C-terminal beta domain present within the catalytic region of this protein. The domain forms a two- layered jelly roll fold. Its specific function remains unknown [[cite:PUB00040386],[cite:PUB00151755]].","PFAM"
"PF22223","ATR1 N-terminal domain","Host-adapted plant pathogens secrete numerous effectors into the host extracellular spaces or inside cells. The A. thaliana TNL receptor RPP1 confers strain-specific immunity through recognition of H.arabidopsidis effector ATR1. ATR1 consists of two alpha-helical domains that are involved in interactions with the receptor. The ATR1 N-terminal domain interacts with both, the C-terminal jelly roll/Ig-like domain (C-JID) and the LRRs of the RPP1 receptor [[cite:PUB00098642]].","PFAM"
"PF07696","7TMR-DISM extracellular 2","This entry represents one of two distinct types of extracellular domain found in the 7TM-DISM (7TM Receptors with Diverse Intracellular Signalling Modules) bacterial transmembrane proteins [[cite:PUB00015215]]. It is possible that this domain adopts a jelly roll fold and acts as a receptor for carbohydrates and their derivatives [[cite:PUB00015215]]. It can also recognise Ca(II) (Matilla et. al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1. https://doi.org/10.1093/femsre/fuab043).","PFAM"
"PF05737","Collagen binding domain","The domain fold is a jelly-roll, composed of two antiparallel beta-sheets and two short alpha-helices [[cite:PUB00011300]]. A groove on beta-sheet I exhibited the best surface complementarity to the collagen. This site partially overlaps with the peptide sequence previously shown to be critical for collagen binding. Recombinant proteins containing single amino acid mutations designed to disrupt the surface of the putative binding site exhibited significantly lower affinities for collagen.","PFAM"
"PF05603","Hikeshi-like, N-terminal domain","This domain is found at the N-terminal end of Protein Hikeshi from humans and its orthologues OPI10 from other eukaryotes. Hikeshi is an specific nuclear import carrier for HSP70 proteins following heat-shock stress, which is required to protect cells from heat- shock damages. The N-terminal domain shows a jelly-roll/beta- sandwich fold with two layers of beta-sheets consisting of three and five and five antiparallel beta-strands [[cite:PUB00101203]].","PFAM"
"PF09092","Lyase, N terminal","Members of this family are predominantly found in chondroitin ABC lyase I, and adopt a jelly-roll fold topology consisting of a two-layered bent beta-sheet sandwich with one short alpha-helix. The convex beta sheet is composed of five antiparallel strands, whilst the concave beta-sheet contains five antiparallel beta-strands with a loop between two consecutive strands folding back onto the concave surface. This domain is required for binding of the protein to long glycosaminoglycan chains [[cite:PUB00014313]].","PFAM"
"PF21340","Cip1-like, core domain","This domain is found in Cip1 from Hypocrea jecorina and similar sequences predominantly found in fungi. Cip1 is a cellulose induced protein with a carbohydrate binding module (Pfam:PF00734) connected via a linker region to a domain with yet unknown function (this entry). This domain shows a beta- sandwich jelly-roll fold with two anti-parallel beta-sheets that consist on eight and seven strands and pack on top of one another. Structural analysis suggest it may function as a lyase [[cite:PUB00151763]].","PFAM"
"PF05373","L-proline 3-hydroxylase, C-terminal","Iron (II)/2-oxoglutarate (2-OG)-dependent oxygenases catalyse oxidative reactions in a range of metabolic processes.  Proline 3-hydroxylase  hydroxylates proline at position 3, the first of a 2-OG oxygenase catalysing oxidation of a free alpha-amino acid. The structure contains conserved motifs present in other 2-OG oxygenases including a  jelly roll strand core and residues binding iron and 2-oxoglutarate,  consistent with divergent evolution within the extended family.  The structure differs significantly from many other 2-OG oxygenases in possessing a discrete C-terminal helical domain.","PFAM"
"PF09206","Alpha-L-arabinofuranosidase B, catalytic","Members of this family, which are present in fungal alpha-L-arabinofuranosidase B, adopt a beta-sandwich fold similar to that of Concanavalin A-like lectins/glucanase. The beta-sandwich fold consists of two anti-parallel beta-sheets with seven and and six strands, respectively. In addition, there are four helices outside of the beta-strands. The beta-sandwich strands are closely packed and curved with a jelly roll topology, creating a small catalytic pocket. The domain catalyses the hydrolysis of alpha-1,2-, alpha-1,3- and alpha-1,5-L-arabinofuranosidic bonds in L-arabinose-containing hemicelluloses such as arabinoxylan and L-arabinan [[cite:PUB00035358]].","PFAM"
"PF22069","Androglobin, domain IV","Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three beta-sandwich domains (domains II,|V,V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and |V. This entry represents domain IV. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.","PFAM"
"PF22068","Androglobin, domain II","Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three beta-sandwich domains (domains II,|V,V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and |V. This entry represents domain II. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.","PFAM"
"PF05899","EutQ-like cupin domain","This entry represents the cupin domain, with a conserved jelly roll-like beta-barrel fold capable of homodimerisation found in bacteria, plant and fungi. It is present in EutQ family from the eut operon, involved in ethanolamine degradation. EutQ is essential during anoxic growth and has acetate kinase activity [[cite:PUB00096913]]. The cupin domain from EutQ does not possess the His residues responsible for metal coordination in other classes of cupins [[cite:PUB00063996]]. This domain is also found in (S)-ureidoglycine aminohydrolase (UGlyAH) from E.coli, which is involved in the anaerobic nitrogen utilisation via the assimilation of allantoin. It catalyses the deamination of allantoin to produce S-ureidoglycolate and ammonia from S-ureidoglycine [[cite:PUB00078751],[cite:PUB00096858]].","PFAM"
"PF05118","Aspartyl/Asparaginyl beta-hydroxylase","Iron (II)/2-oxoglutarate (2-OG)-dependent oxygenases catalyse oxidative reactions in a range of metabolic processes.  Proline 3-hydroxylase hydroxylates proline at position 3, the first of a 2-OG oxygenase catalysing oxidation of a free alpha-amino acid. The structure of proline 3-hydroxylase contains the conserved motifs present in other 2-OG oxygenases including a jelly roll strand core and residues binding iron and 2-oxoglutarate, consistent with divergent evolution within the extended family. This family represent the arginine, asparagine and proline hydroxylases. The aspartyl/asparaginyl beta-hydroxylase (EC:1.14.11.16) specifically hydroxylates one aspartic or asparagine residue in certain epidermal growth factor-like domains of a number of proteins [[cite:PUB00010142]].","PFAM"
