Accession	Name	Description	Source Database
PF22031	Major capsid protein V20 C-terminal domain	This is the C-terminal domain of major capsid protein V20. This domain folds into a beta-sandwich with a jelly-roll topology [[cite:PUB00151820]].	PFAM
IPR009103	Olfactory marker protein	Olfactory marker protein (OMP) is a highly expressed, cytoplasmic protein found in mature olfactory sensory receptor neurons of all vertebrates. OMP is a modulator of the olfactory signal transduction cascade. The crystal structure of OMP reveals a β sandwich consisting of eight strands in two sheets with a jelly-roll topology [[cite:PUB00013265]]. Three highly conserved regions have been identified as possible protein-protein interaction sites in OMP, indicating a possible role for OMP in modulating such interactions, thereby acting as a molecular switch [[cite:PUB00013266]].	INTERPRO
IPR010092	Chlorinating enzyme	This entry represents a group of highly homologous enzymes related to dioxygenases which chlorinate amino acid methyl groups. L-threonyl-[L-threonyl-carrier protein] 4-chlorinase (SyrB2)  chlorinates the methyl group of threonine in the biosynthesis of syringomycin in Pseudomonas syringae in a reaction that requires oxygen, chloride ions, ferrous iron and α-oxoglutarate [[cite:PUB00013826], [cite:PUB00013788], [cite:PUB00100320], [cite:PUB00100321], [cite:PUB00100319]]. α-oxoglutarate seems to provide structural stability to the protein, which shows an eight-stranded anti-parallel β-sandwich 'jelly-roll' motif [[cite:PUB00040622]].	INTERPRO
IPR016828	Alpha-L-arabinofuranosidase	"Alpha-L-arabinofuranosidase hydrolyses the terminal non-reducing alpha-L-arabinofuranoside residues in alpha-L-arabinosides. The enzyme acts on alpha-L-arabinofuranosides, alpha-L-arabinans containing (1,3)-and/or (1,5)-linkages, arabinoxylans and arabinogalactans. Some beta-galactosidases ([ec:3.2.1.23]) and beta-D-fucosidases ([ec:3.2.1.38]) also hydrolyse alpha-L-arabinosides.



The enzyme is a hexamer and each monomer has two domains: a (β/α)8-barrel and a 12-stranded β sandwich with jelly-roll topology [[cite:PUB00030050]]. It has no apparent requirement for cofactors, and its activity is strongly inhibited by 1 mM Hg2+ [[cite:PUB00012951]]."	INTERPRO
IPR053887	Major capsid protein V20, C-terminal domain	This is the C-terminal domain of major capsid protein V20 from Sputnik virophage. This domain folds into a β-sandwich with a jelly-roll topology [[cite:PUB00151820]]. V20 is a major capsid protein from Sputnik virophage. This is a dsDNA virus, referred to as a virophage, that is co-assembled with Mimivirus in the host amoeba. The capsid is organized into a T = 27 lattice in which there are 260 trimeric capsomers and 12 pentameric capsomers. The trimeric capsomers consist of three double jelly-roll major capsid proteins creating pseudohexameric capsomer symmetry.	INTERPRO
IPR015289	Alpha-L-arabinofuranosidase B, catalytic	This domain, found in fungal alpha-L-arabinofuranosidase B, adopts a β-sandwich fold similar to that of concanavalin A-like lectins/glucanase. The β-sandwich fold consists of two anti-parallel β-sheets with seven and six strands, respectively. In addition, there are four helices outside of the β-strands. The β-sandwich strands are closely packed and curved with a jelly roll topology, creating a small catalytic pocket. The domain catalyses the hydrolysis of alpha-1,2-, alpha-1,3- and alpha-1,5-L-arabinofuranosidic bonds in L-arabinose-containing hemicelluloses such as arabinoxylan and L-arabinan [[cite:PUB00035358]].	INTERPRO
PF09206	Alpha-L-arabinofuranosidase B, catalytic	Members of this family, which are present in fungal alpha-L-arabinofuranosidase B, adopt a beta-sandwich fold similar to that of Concanavalin A-like lectins/glucanase. The beta-sandwich fold consists of two anti-parallel beta-sheets with seven and and six strands, respectively. In addition, there are four helices outside of the beta-strands. The beta-sandwich strands are closely packed and curved with a jelly roll topology, creating a small catalytic pocket. The domain catalyses the hydrolysis of alpha-1,2-, alpha-1,3- and alpha-1,5-L-arabinofuranosidic bonds in L-arabinose-containing hemicelluloses such as arabinoxylan and L-arabinan [[cite:PUB00035358]].	PFAM
PF09144	Yersinia pseudo-tuberculosis mitogen	Members of this family of Yersinia pseudo-tuberculosis mitogens adopt a sandwich structure consisting of nine strands in two beta sheets, in a jelly-roll topology. As with other super-antigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].	PFAM
PF18099	Carbohydrate binding module (family 35)	This is a delta4,5-anhydrogalacturonic acid-specific carbohydrate-binding module family 35, which is found in several prokaryotic proteins. Its crystal structure shows a jelly roll/beta-sandwich fold with 2 antiparallel sheets made of 4 and 5 antiparallel beta-strands [[cite:PUB00054441]]. It is also found at the end of a family of putative glycosyl hydrolases.	PFAM
IPR010400	PITH domain	"This entry represents the PITH domain (derived from Proteasome-Interacting THioredoxin). The protein Txnl1, which is a probable component of the 32kDa 26S proteasome, uses its C-terminal PITH domain to associate specifically with the 26S proteasome [[cite:PUB00053806]].

The PITH domain is dominated by a jelly roll β-sandwich structure. The β-sandwich is formed by face-to-face packing of two anti-parallel β-sheets. Another two-stranded β-sheet seals off one end of the β-barrel [[cite:PUB00038340], [cite:PUB00057965]]."	INTERPRO
PF17994	Galactofuranosyltransferase 2 N-terminal	This is the N-terminal beta-barrel domain found in the polymerizing galactofuranosyltransferase GlfT2 (Rv3808c). This enzyme synthesizes the bulk of the galactan portion of the mycolyl-arabinogalactan complex, which is the largest component of the mycobacterial cell wall such as in Mycobacterium tuberculosis. The N-terminal domain contains two short helices preceding a 10-stranded beta-sandwich with jelly roll topology [[cite:PUB00061227]].	PFAM
PF23032	ELAPOR1-like, galactose-binding domain	This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).	PFAM
IPR054591	PL28 ulvan lyase	"This entry includes sequences from the PL28 family of ulvan lyases. These enzymes degrade ulvan next to either epimer of uronic acid. They adopt a β-sandwich structure with a jelly-roll topology containing a deep positively charged cleft that defines the substrate binding site [[cite:PUB00154170]].

This domain is found as standalone or in combination with other domains."	INTERPRO
IPR040492	Galactofuranosyltransferase GlfT2, N-terminal	This is the N-terminal β-barrel domain found in the polymerizing galactofuranosyltransferase GlfT2 (Rv3808c). This enzyme synthesizes the bulk of the galactan portion of the mycolyl-arabinogalactan complex, which is the largest component of the mycobacterial cell wall such as in Mycobacterium tuberculosis. The N-terminal domain contains two short helices preceding a 10-stranded β-sandwich with jelly roll topology [[cite:PUB00061227]].	INTERPRO
PF23031	ELAPOR1-like, galactose binding domain	This domain is found in Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 from humans (ELAPOR1), which may protect cells from cell death by inducing cytosolic vacuolisation and up-regulating the autophagy pathway and may play a role in apoptosis and cell proliferation. It is predicted to form a beta sandwich with a jelly roll topology typical of a galactose binding domain (GBD).	PFAM
PF22071	FAP42 domain B2	FAP42 is a large protein that forms the peripheral 'beam' of the C1b projection of the ciliary central apparatus (CA). This protein forms a complex with FAP413 and FAP246, which is essential for a stable assembly of the C1b, C1f and C2b projections, and loss of these proteins leads to ciliary motility defects. FAP42 structure has been determined along with other components of the Chlamydomonas reinhardtii ciliary central apparatus [1-2]. FAP42 contains cysteine peptidase domain, adenylate kinase domain, five guanylate kinase domains and three beta-sandwich domains. The latter adopt a jelly-roll topology and have a significant sequence and structural similarity to domain III in calpains and the predicted beta-sandwich domains in androglobin. This entry represents the second FAP42 beta-sandwich domain B2.	PFAM
PF22072	FAP42 domain B3	FAP42 is a large protein that forms the peripheral 'beam' of the C1b projection of the ciliary central apparatus (CA). This protein forms a complex with FAP413 and FAP246, which is essential for a stable assembly of the C1b, C1f and C2b projections, and loss of these proteins leads to ciliary motility defects. FAP42 structure has been determined along with other components of the Chlamydomonas reinhardtii ciliary central apparatus [1-2]. FAP42 contains cysteine peptidase domain, adenylate kinase domain, five guanylate kinase domains and three beta-sandwich domains. The latter adopt a jelly-roll topology and have a significant sequence and structural similarity to domain III in calpains and the predicted beta-sandwich domains in androglobin. This entry represents the third FAP42 beta-sandwich domain B3.	PFAM
IPR054096	FAP42-like, domain B2	FAP42 is a large protein that forms the peripheral 'beam' of the C1b projection of the ciliary central apparatus (CA). This protein forms a complex with FAP413 and FAP246, which is essential for a stable assembly of the C1b, C1f and C2b projections, and loss of these proteins leads to ciliary motility defects. FAP42 structure has been determined along with other components of the Chlamydomonas reinhardtii ciliary central apparatus [[cite:PUB00153933], [cite:PUB00153934]]. FAP42 contains cysteine peptidase domain, adenylate kinase domain, five guanylate kinase domains and three β-sandwich domains. The latter adopt a jelly-roll topology and have a significant sequence and structural similarity to domain III in calpains and the predicted β-sandwich domains in androglobin. This entry represents the second FAP42 β-sandwich domain B2.	INTERPRO
IPR054097	FAP42-like, domain B3	FAP42 is a large protein that forms the peripheral 'beam' of the C1b projection of the ciliary central apparatus (CA). This protein forms a complex with FAP413 and FAP246, which is essential for a stable assembly of the C1b, C1f and C2b projections, and loss of these proteins leads to ciliary motility defects. FAP42 structure has been determined along with other components of the Chlamydomonas reinhardtii ciliary central apparatus [[cite:PUB00153933], [cite:PUB00153934]]. FAP42 contains cysteine peptidase domain, adenylate kinase domain, five guanylate kinase domains and three β-sandwich domains. The latter adopt a jelly-roll topology and have a significant sequence and structural similarity to domain III in calpains and the predicted β-sandwich domains in androglobin. This entry represents the third FAP42 β-sandwich domain B3.	INTERPRO
PF14683	Polysaccharide lyase family 4, domain III	CBM-like is domain III of rhamnogalacturonan lyase (RG-lyase). The full-length protein specifically recognises and cleaves alpha-1,4 glycosidic bonds between l-rhamnose and d-galacturonic acids in the backbone of rhamnogalacturonan-I, a major component of the plant cell wall polysaccharide, pectin. This domain possesses a jelly roll beta-sandwich fold structurally homologous to carbohydrate binding modules (CBMs), and it carries two sulfate ions and a hexa-coordinated calcium ion.	PFAM
PF17991	Thioredoxin like C-terminal domain	This is the C-terminal thioredoxin like domain found in Rv2874 in the pathogenic bacterium Mycobacterium tuberculosis [[cite:PUB00091401]]. Structure analysis of Rv2874-C shows the presence of a C-terminal domain formed by the 128 residues Thr568-Gly695. These residues form a jelly-roll structure in which two antiparallel beta-sheets sandwich a hydrophobic core. This domain is combined with a second domain with a carbohydrate-binding module (CBM) fold [[cite:PUB00091402]].	PFAM
IPR041017	DipZ, thioredoxin-like C-terminal domain	This is the C-terminal thioredoxin like domain found in DipZ/Rv2874 in the pathogenic bacterium Mycobacterium tuberculosis [[cite:PUB00091401]]. Structure analysis of Rv2874-C shows the presence of a C-terminal domain formed by the 128 residues Thr568-Gly695. These residues form a jelly-roll structure in which two antiparallel β-sheets sandwich a hydrophobic core. This domain is combined with a second domain with a carbohydrate-binding module (CBM) fold [[cite:PUB00091402]].	INTERPRO
IPR029411	Rhamnogalacturonan lyase, domain III	This is domain III of rhamnogalacturonan lyase (RG-lyase). The full-length protein specifically recognises and cleaves alpha-1,4 glycosidic bonds between l-rhamnose and d-galacturonic acids in the backbone of rhamnogalacturonan-I, a major component of the plant cell wall polysaccharide, pectin. This domain possesses a jelly roll β-sandwich fold structurally homologous to carbohydrate binding modules (CBMs), and it carries two sulfate ions and a hexa-coordinated calcium ion [[cite:PUB00027701]].	INTERPRO
IPR049053	Alpha fucosidase A-like, C-terminal domain	This domain is found in Alpha-fucosidase (AFCA) from Bifidobacterium bifidum and in other members of the glycoside hydrolase family 95 from fungi, plants and bacteria. AFCA hydrolyses the glycosidic linkage of Fuc1-2Gal via an inverting mechanism. This entry represents the C-terminal β-sandwich domain that is next to the the catalytic region of this protein. The domain forms a two-layered jelly-roll fold. Its specific function remains unknown [[cite:PUB00040386], [cite:PUB00151755]].	INTERPRO
PF05603	Hikeshi-like, N-terminal domain	This domain is found at the N-terminal end of Protein Hikeshi from humans and its orthologues OPI10 from other eukaryotes. Hikeshi is an specific nuclear import carrier for HSP70 proteins following heat-shock stress, which is required to protect cells from heat- shock damages. The N-terminal domain shows a jelly-roll/beta- sandwich fold with two layers of beta-sheets consisting of three and five and five antiparallel beta-strands [[cite:PUB00101203]].	PFAM
IPR015176	Lyase, N-terminal	This entry represents a domain predominantly found in chondroitin ABC lyase I,  adopting a jelly-roll fold topology consisting of a two-layered bent β-sheet sandwich with one short α-helix. The convex β sheet is composed of five antiparallel strands, whilst the concave β-sheet contains five antiparallel β-strands with a loop between two consecutive strands folding back onto the concave surface. This domain is required for binding of the protein to long glycosaminoglycan chains [[cite:PUB00014313]].	INTERPRO
IPR041342	Carbohydrate binding module family 35	This entry represents carbohydrate-binding module family 35 [cazy:CBM35]. This domain is found in several prokaryotic proteins, including Cthe_3141 from Acetivibrio thermocellus 9 ([swissprot:A3DK57]). It has specificity for delta4,5-anhydrogalacturonic acid (d4,5-GalA), a signature molecule for plant cell wall degradation. Its crystal structure shows a jelly roll/β-sandwich fold with 2 antiparallel sheets made of 4 and 5 antiparallel β-strands [[cite:PUB00054441]]. It is also found at the end of a family of putative glycosyl hydrolases.	INTERPRO
PF09092	Lyase, N terminal	Members of this family are predominantly found in chondroitin ABC lyase I, and adopt a jelly-roll fold topology consisting of a two-layered bent beta-sheet sandwich with one short alpha-helix. The convex beta sheet is composed of five antiparallel strands, whilst the concave beta-sheet contains five antiparallel beta-strands with a loop between two consecutive strands folding back onto the concave surface. This domain is required for binding of the protein to long glycosaminoglycan chains [[cite:PUB00014313]].	PFAM
PS51532	PITH domain profile	"The proteasome-interacting thioredoxin (PITH) domain is a general proteasome-
interacting module [[cite:PUB00053806]].

The PITH domain is dominated by a jelly roll beta-sandwich structure. The beta-sandwich is formed by face-to-face packing of two anti-
parallel beta-sheets. Another two-stranded beta-sheet seals off one end of the
beta-barrel [[cite:PUB00038340]][[cite:PUB00057965]].

Some proteins known to contain a PITH domain are listed below:

 - Human  Txnl1 or TRP32, a thioredoxin-like protein implicated in endocytosis
   and in protection against glucose deprivation-induced cytotoxicity.
 - Human  C1ORF28,  an uncharacterized protein that does not contain any other
   known protein   domains,   but   has  been  found  to  associate  with  26S
   proteasomes.
 - Arabidopsis thaliana At3g04780, a single domain protein.

The profile we developed covers the entire PITH domain."	PROFILE
IPR008493	Hikeshi-like, N-terminal domain	This entry represents a domain found at the N-terminal of human Hikeshi and its orthologues OPI10 from other eukaryotes. Hikeshi acts as a specific nuclear import carrier for HSP70 proteins following heat-shock stress; it acts by mediating the nucleoporin-dependent translocation of ATP-bound HSP70 proteins into the nucleus [[cite:PUB00075511]]. The N-terminal domain shows a jelly-roll/β-sandwich fold with two layers of β-sheets consisting of three and five and five antiparallel β-strands [[cite:PUB00101203], [cite:PUB00101202]].	INTERPRO
PF21340	Cip1-like, core domain	This domain is found in Cip1 from Hypocrea jecorina and similar sequences predominantly found in fungi. Cip1 is a cellulose induced protein with a carbohydrate binding module (Pfam:PF00734) connected via a linker region to a domain with yet unknown function (this entry). This domain shows a beta- sandwich jelly-roll fold with two anti-parallel beta-sheets that consist on eight and seven strands and pack on top of one another. Structural analysis suggest it may function as a lyase [[cite:PUB00151763]].	PFAM
IPR048955	Cip1-like, core domain	This entry represents a domain found in Cip1 from Hypocrea jecorina and similar fungal and bacterial sequences. Cip1 is a cellulose induced protein with a carbohydrate binding module ([interpro:IPR000254]) connected via a linker region to a domain with yet unknown function (this entry). This domain shows a β-sandwich jelly-roll fold with two antiparallel β-sheets that consist on eight and seven strands and pack on top of one another. Structural analysis suggest it may function as a lyase [[cite:PUB00151763]]. In some proteins, this domain is found associated with [interpro:IPR001919].	INTERPRO
IPR036371	Thiamin pyrophosphokinase, thiamin-binding domain superfamily	Thiamin pyrophosphokinase (TPK, [ec:2.7.6.2]) catalyzes the transfer of a pyrophosphate group from ATP to vitamin B1 (thiamin) to form the coenzyme thiamin pyrophosphate (TPP). Thus, TPK is important for the formation of a coenzyme required for central metabolic functions. The structure of thiamin pyrophosphokinase suggest that the enzyme may operate by a mechanism of pyrophosphoryl transfer similar to those described for pyrophosphokinases functioning in nucleotide biosynthesis [[cite:PUB00009922]]. TPK is a homodimer, and each subunit consists of two domains. One domain resembles a Rossman fold, while the other domain forms a β-sheet flattened sandwich structure containing a jelly-roll topology. The active site is located in a cleft at the dimer interface and is formed from residues from domains of both subunits.  The thiamin binding site is primarily defined by the sandwich domain of one subunit and by a loop from the α-β domain of the other subunit [[cite:PUB00009922]]. This superfamily describes the jelly-roll sandwich domain.	INTERPRO
IPR036698	TM1070-like superfamily	This superfamily consists of several hypothetical bacterial proteins of around 125 resides in length, including the hypothetical protein TM1070 from Thermotoga maritima, which has a β-sandwich structure with a jelly-roll fold. The function of these proteins is unknown.	INTERPRO
IPR009113	Outer capsid protein Mu1/VP4	"This entry includes the outer capsid protein Mu1 and VP4.

Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 are required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]]."	INTERPRO
IPR015960	Mu1 membrane penetration protein, domain IV	"Mu1 is an outer capsid protein that acts as a reoviral penetration agent. Non-enveloped animal reoviruses must enter host cells by membrane penetration that does not involve membrane fusion, as they lack a viral membrane. Reoviruses are activated by proteolytic cleavage in the intestinal lumen, leading to infectious subviral particles. The core of the virus is coated by a layer of mu1 and sigma3 proteins. Proteases strip off sigma3 exposing mu1, which provides the membrane penetration machinery that perforates the membrane. In addition, N-terminal myristoylation of polypeptide Mu1 is required for site-specific cleavage to Mu1C in transfected cells [[cite:PUB00036074]]. Mu1 forms a trimer, where the three mu1 molecules are coiled around one another with a right-handed twist. The mu1 chain folds into four distinct domains: three intertwined, predominantly α helical domains and a jelly-roll β-sandwich [[cite:PUB00013280]].

This superfamily represents the jelly-roll β-sandwich domain."	INTERPRO
IPR036475	Mitogen Ypm superfamily	Members of this family of Yersinia pseudotuberculosis mitogens adopt a sandwich structure consisting of nine strands in two β sheets, in a jelly-roll topology. As with other superantigens, they are able to excessively activate T cells by binding to the T cell receptor [[cite:PUB00029905]].	INTERPRO
PF22069	Androglobin, domain IV	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three beta-sandwich domains (domains II,|V,V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and |V. This entry represents domain IV. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.	PFAM
PF22068	Androglobin, domain II	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three beta-sandwich domains (domains II,|V,V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and |V. This entry represents domain II. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.	PFAM
IPR054094	Androglobin, domain IV	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three β-sandwich domains (domains II, IV, V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and IV [[cite:PUB00095962], [cite:PUB00154403]]. This entry represents domain IV. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.	INTERPRO
IPR054093	Androglobin, domain II	Androglobin is a protein with a key role in spermatogenesis. It is required for sperm flagellum formation and maturation of elongating spermatids, both essential for male fertility. Androglobin contains an N-terminal cysteine protease domain that lacks the catalytic cysteine, a tandem of three β-sandwich domains (domains II, IV, V) and a circularly permuted globin-like domain (domain III) that is inserted between domain II and IV [[cite:PUB00095962], [cite:PUB00154403]]. This entry represents domain II. This domain is predicted to adopt a jelly-roll topology that is observed in galactose-binding domains. It has a significant sequence similarity to domains found in ciliary protein FAP42 and to domain III in calpains.	INTERPRO
IPR037164	Satellite virus coat domain superfamily	This entry represents a coat domain superfamily found in several satellite viruses, including satellite panicum mosaic virus [[cite:PUB00020147]], satellite tobacco mosaic virus [[cite:PUB00028081]], and satellite tobacco necrosis virus. The coat domain of satellite viruses consist of a β-sandwich jelly-roll fold, with usually eight strands making up the two sheets, although some members can have an extra 1-2 strands. The characteristic interaction between the domains of this fold allows the formation of five-fold and pseudo six-fold assemblies. Although the satellite virus coat proteins share the same jelly-roll fold, they differ in the arrangement of their secondary structural elements and in the interactions of adjacent subunits [[cite:PUB00007874]].	INTERPRO
IPR042210	Glycoprotein VP7, domain 2	Glycoprotein VP7, also known as outer shell glycoprotein, is a serotype-specific antigen, and is the major neutralisation antigen. It is found in the dsRNA rotaviruses. This superfamily represents the domain 2 found in glycoprotein VP7, it consists of 8 β strands arranged into a jelly-roll β sandwich.	INTERPRO
IPR008859	Thrombospondin, C-terminal	Thrombospondins are multimeric multidomain glycoproteins that function at cell surfaces and in the extracellular matrix milieu. They act as regulators of cell interactions in vertebrates. They are divided into two subfamilies, A and B, according to their overall molecular organisation. The subgroup A proteins TSP-1 and -2 contain an N-terminal domain, a VWFC domain, three TSP1 repeats, three EGF-like domains, TSP3 repeats and a C-terminal domain. They are assembled as trimer. The subgroup B thrombospondins, designated TSP-3, -4, and COMP (cartilage oligomeric matrix protein, also designated TSP-5) are distinct in that they contain unique N-terminal regions, lack the VWFC domain and TSP1 repeats, contain four copies of EGF-like domains, and are assembled as pentamers [[cite:PUB00043707]]. EGF, TSP3 repeats and the C-terminal domain are thus the hallmark of a thrombospondin. The globular C-terminal domain is a β sandwich of two curved antiparallel β-sheets [[cite:PUB00037903]]. The fold is an elaboration of the jelly role topology,  with strand B3-B7, B11 and B14-B15 forming the eight-stranded jelly roll motif. The function of the C-terminal domain is not yet known.	INTERPRO
