Accession	Name	Description	Source Database
PF17974	Galactose-binding domain-like	Proteins containing a galactose-binding domain-like fold can be found in several different protein families, in both eukaryotes and prokaryotes. The common function of these domains is to bind to specific ligands, such as cell-surface-attached carbohydrate substrates for galactose oxidase and sialidase [[cite:PUB00004093]], phospholipids on the outer side of the mammalian cell membrane for coagulation factor Va [[cite:PUB00010664]], membrane-anchored ephrin for the Eph family of receptor tyrosine kinases [[cite:PUB00010665]], and a complex of broken single-stranded DNA and DNA polymerase beta for XRCC1 [[cite:PUB00005865]]. The structure of the galactose-binding domain-like members consists of a beta-sandwich, in which the strands making up the sheets exhibit a jellyroll fold [[cite:PUB00051660]].	PFAM
cd02175	lichenase, member of glycosyl hydrolase family 16	Lichenase, also known as 1,3-1,4-beta-glucanase, is a member of glycosyl hydrolase family 16, that specifically cleaves 1,4-beta-D-glucosidic bonds in mixed-linked beta glucans that also contain 1,3-beta-D-glucosidic linkages.  Natural substrates of beta-glucanase are beta-glucans from grain endosperm cell walls or lichenan from the Islandic moss, Cetraria islandica.  This protein is found not only in bacteria but also in anaerobic fungi.  This domain includes two seven-stranded antiparallel beta-sheets that are adjacent to one another forming a compact, jellyroll beta-sandwich structure. [[cite:PUB00115287], [cite:PUB00010685], [cite:PUB00037179], [cite:PUB00033683], [cite:PUB00036533], [cite:PUB00115288], [cite:PUB00085080], [cite:PUB00005266], [cite:PUB00000543], [cite:PUB00000528], [cite:PUB00000503]]	CDD
IPR025055	Endospore appendages core	The surface of Bacillus and Clostridium endospores is decorated with long filamentous endospores appendages that resemble pili from Gram-negative and Gram-positive bacteria. They show two morphologies, the main or Staggered-type (S-Ena) which accounts for 90% of the fibres, and the Ladder-like (L-Ena) which is smaller and less abundant. They are a novel class of Gram-positive pili, consisting in single domain subunits with a jellyroll topology comprised by two juxtaposed β-sheets. This entry represents the S-Ena core. Disulfide bonding through the N-terminal connector peptide that precedes this domain stabilizes longitudinally the fibres, bridging the helical turns. This results in flexible pili, highly resistant to environmental harsh such as heat, drought, and chemical damage [[cite:PUB00098173]].	INTERPRO
IPR040887	Aldos-2-ulose dehydratase/isomerase (AUDH), Cupin domain	The enzyme aldos-2-ulose dehydratase/isomerase (AUDH) participates in carbohydrate secondary metabolism, catalyzing the conversion of glucosone and 1,5-d-anhydrofructose to the secondary metabolites cortalcerone and microthecin, respectively. Crystal structure analysis revealed that the enzyme subunit is built up of three domains, an N-terminal seven-bladed propeller, a bicupin and a C-terminal lectin domain. This entry describes the second Cupin domain (residues 574-739) composed of two antiparallel sheets that build up the jellyroll sandwich fold formed from four and five β-strands. This cupin domain in AUDH is found to contain a zinc binding site where the metal site is located at the bottom of the cleft formed by the β-sandwich, as observed in many cupins [[cite:PUB00065867]].	INTERPRO
PF13157	Endospore appendages	The surface of Bacillus and Clostridium endospores is decorated with long filamentous endospores appendages that resemble pili from Gram- negative and Gram-positive bacteria. They show two morphologies, the main or Staggered-type (S-Ena) which accounts for 90% of the fibres, and the Ladder-like (L-Ena) which is smaller and less abundant. They are a novel class of Gram-positive pili, consisting in single domain subunits with a jellyroll topology comprised by two juxtaposed beta-sheets. This domain represents the S-Ena core. Disulfide bonding through the N-terminal connector peptide that precedes this domain stabilizes longitudinally the fibres, bridging the helical turns. This results in flexible pili, highly resistant to environmental harsh such as heat, drought, and chemical damage [[cite:PUB00098173]].	PFAM
PF18637	Aldos-2-ulose dehydratase/isomerase (AUDH) Cupin domain	The enzyme aldos-2-ulose dehydratase/isomerase (AUDH) participates in carbohydrate secondary metabolism, catalyzing the conversion of glucosone and 1,5-d-anhydrofructose to the secondary metabolites cortalcerone and microthecin, respectively. Crystal structure analysis revealed that the enzyme subunit is built up of three domains, an N-terminal seven-bladed propeller, a bicupin and a C-terminal lectin domain. This entry describes the second Cupin domain (residues 574-739) composed of two antiparallel sheets that build up the jellyroll sandwich fold formed from four and five beta-strands. This cupin domain in AUDH is found to contain a zinc binding site where the metal site is located at the bottom of the cleft formed by the beta-sandwich, as observed in many cupins [[cite:PUB00065867]].	PFAM
cd02178	Beta-agarase, member of glycosyl hydrolase family 16	Beta-agarase is a glycosyl hydrolase family 16 (GH16) member that hydrolyzes the internal beta-1,4-linkage of agarose, a hydrophilic polysaccharide found in the cell wall of Rhodophyceaea, marine red algae. Agarose is a linear chain of galactose units linked by alternating L-alpha-1,3- and D-beta-1,4-linkages that are additionally modified by a 3,6-anhydro-bridge. Agarose forms thermo-reversible gels that are widely used in the food industry or as a laboratory medium. While beta-agarases are also found in two other families derived from the sequence-based classification of glycosyl hydrolases (GH50, and GH86) the GH16 members are most abundant.  This domain adopts a curved  beta-sandwich conformation, with a tunnel-shaped active site cavity, referred to as a jellyroll fold. [[cite:PUB00029321], [cite:PUB00085081], [cite:PUB00115407], [cite:PUB00000503], [cite:PUB00000528], [cite:PUB00000543], [cite:PUB00005266], [cite:PUB00085080]]	CDD
IPR027412	Baseplate structural protein Gp9 C-terminal domain superfamily	The Bacteriophage T4 is a double-stranded, structurally complex virus that infects Escherichia coli.  Gene product 9 (Gp9) connects the long tail fibres to the baseplate, and triggers baseplate reorganisation and tail contraction after virus attachment to the host cell.  The Gp9 protein forms a homotrimer, with each monomer having three domains:  the N-terminal α-helical domain forms a triple coiled coil, the middle domain is a mixed, seven-stranded β sandwich with a unique fold, and the C-terminal domain is a eight-stranded β-sandwich with similarity to jellyroll viral capsid protein structures [[cite:PUB00010705]].  The flexible loops that occur between domains may enable the conformational changes necessary during infection. This superfamily represents the Gp9 C-terminal domain.	INTERPRO
cd02177	Kappa-carrageenase, member of glycosyl hydrolase family 16	Kappa-carrageenase is a glycosyl hydrolase family 16 (GH16) member that hydrolyzes the internal beta-1,4-linkage of kappa-carrageenans, a hydrophilic polysaccharide found in the cell wall of Rhodophyceaea, marine red algae. Carrageenans are linear chains of galactose units linked by alternating D-alpha-1,3- and D-beta-1,4-linkages that are additionally modified by a 3,6-anhydro-bridge. Depending on the position and number of sulfate ester modifications they are subdivided into kappa-, iota-, and lambda-carrageenases, kappa being modified once. Carrageenans form thermo-reversible gels widely used for industrial applications. Kappa-carrageenases exist in bacteria belonging to at least three phylogenetically distant branches, including pseudoalteromonas, planctomycetes, and baceroidetes.   This domain adopts a curved  beta-sandwich conformation, with a tunnel-shaped active site cavity, referred to as a jellyroll fold. [[cite:PUB00010686], [cite:PUB00085081], [cite:PUB00115404], [cite:PUB00115405], [cite:PUB00115406], [cite:PUB00085080], [cite:PUB00005266], [cite:PUB00000543], [cite:PUB00000528], [cite:PUB00000503]]	CDD
PS51284	DOC domain profile	"The anaphase-promoting complex (APC) is a multi-subunit E3 protein ubiquitin
ligase that is reponsible for the metaphase to anaphase transition and the
exit from mitosis. The subunit APC10 is a one-domain protein homologous to a
sequence element, termed the DOC domain, found in several hypothetical
proteins that may also mediate ubiquitination reactions, because they contain
combinations of either RING finger, cullin
or HECT domains [[cite:PUB00019152]][[cite:PUB00026391]][[cite:PUB00014924]].

The DOC domain consists of a beta-sandwich, in which a five-stranded
antiparallel beta-sheet is packed on top of a three stranded antiparallel
beta-sheet, exhibiting a 'jellyroll' fold [[cite:PUB00026391]][[cite:PUB00014924]].

Some proteins known to contain a DOC domain are listed below:

 - Eucaryotic Doc1/Apc10.
 - Mammalian protein associated with the transcription factor Myc (PAM).
 - Mouse runty-jerky-sterile (RJS) protein.
 - Human HERC2, the ortholog of RJS.

The profile we developed covers the entire DOC domain."	PROFILE
PS00555	Plant viruses icosahedral capsid proteins S region signature	"The capsid protein of plant icosahedral positive strand RNA viruses generally
consists of four distinct domains: an N-terminal positively charged 'R' domain
involved in the interaction with RNA, a connecting arm 'a', a central domain
'S' forming the virion shell, and a C-terminal projecting 'P' domain. Some of
the viruses lack either the R or P domains.

It has been shown [[cite:PUB00003137]] that the S domain of the capsid protein of a number of
plant viruses are evolutionary related, namely:

 - Carmoviruses: carnation mottle  virus (CarMV),  melon  necrotic  spot virus
   (MNSV), and turnip crinkle virus (TCV).
 - Dianthoviruses: red clover necrotic mosaic virus (RCNMV).
 - Sobemoviruses: maize  chlorotic  mottle  virus  (MCMV),  and  southern bean
   mosaic virus (SBMV).
 - Tombusviruses: artichoke mottled  crinkle virus (AMCV),  cucumber  necrosis
   virus (CNV), cymbidium ringspot virus (CyRSV), and tomato bushy stunt virus
   (TBSV).
 - Tobacco necrosis virus (TNV).

The S domain of these viruses contains from 158 to 166 amino acids and is
composed of eight beta-strand anti-parallel twisted sheets in what is known as
a 'jellyroll' conformation. The signature pattern for this domain starts at
the C-terminal part of the 3rd beta-strand and extends up to the end of the
4th strand."	PROSITE
IPR008980	Viral capsid/haemagglutinin protein	"Representatives of this viral protein domain are found in the vp7 capsid protein of Bluetongue virus [[cite:PUB00004198]], and  African horsesickness virus [[cite:PUB00003521]], the vp6 capsid protein of Bovine rotavirus [[cite:PUB00010622]], and in the haemagglutinin protein of various influenza viruses [[cite:PUB00010666], [cite:PUB00010667]].

The vp7 and vp6 capsid proteins each consist of two domains, one a β sandwich, and the other an α helical bundle.  The β sandwich domain described here is structurally very similar in vp6 and vp7, and may be involved in the attachment of the virus to the cell.  In influenza A and B viruses, the haemagglutinin membrane glycoprotein serves to recognise the cell surface receptor sialic acid, and this domain forms the head region.  In influenza C virus, a single multifunctional glycoprotein, the haemagglutinin-esterase-fusion protein, possesses a haemagglutinin domain, which recognises the cell surface receptor 9-O-acetylsialic acid, and bears strong structural resemblance to the haemagglutinin protein of influenza A and B viruses, as well as to the vp6 and vp7 capsid proteins.  In each case, the domain consists of a β-sandwich, in which the strands making up the sheets exhibit a jellyroll fold.  The resultant proteins form trimers."	INTERPRO
IPR004939	APC10/DOC domain	"The anaphase-promoting complex (APC) or cyclosome is a multi-subunit E3 protein ubiquitin ligase that regulates important events in mitosis, such as the initiation of anaphase and exit from telophase. The APC, in conjunction with other enzymes, assembles multi-ubiquitin chains on a variety of regulatory proteins, thereby targeting them for proteolysis by the 26S proteasome [[cite:PUB00059221]]. One of the subunits of the APC that is required for ubiquitination activity is APC10, a one-domain protein homologous to a sequence element, termed the DOC domain, found in several hypothetical proteins that may also mediate ubiquitination reactions, because they contain combinations of either RING finger (see [prositedoc:PDOC00449]), cullin (see [prositedoc:PDOC00967]) or HECT (see [prositedoc:PDOC50237]) domains [[cite:PUB00019152], [cite:PUB00026391], [cite:PUB00014924]].

The DOC domain consists of a β-sandwich, in which a five-stranded antiparallel β-sheet is packed on top of a three stranded antiparallel β-sheet, exhibiting a 'jellyroll' fold [[cite:PUB00026391], [cite:PUB00014924]].

Proteins known to contain a DOC domain include:


Eucaryotic Doc1/Apc10.
Mammalian protein associated with the transcription factor Myc (PAM).
Mouse runty-jerky-sterile (RJS) protein.
Human HERC2, the ortholog of RJS.
"	INTERPRO
IPR001090	Ephrin receptor ligand binding domain	"The Eph receptors, which bind a group of cell-membrane-anchored ligands known as ephrins, represent the largest subfamily of receptor tyrosine kinases (RTKs). The Eph receptors and their ephrin ligands control a diverse array of cell-cell interactions in the nervous and vascular systems. On ephrin binding, the Eph kinase domain is activated, initiating 'forward' signaling in the receptor-expressing cells. Simultaneously, signals are also induced in the ligand-expressing cells a phenomenon referred to as 'reverse' signalling. The extracellular Eph receptor region contains a conserved 180- amino-acid N-terminal ligand-binding domain (LBD) which is both necessary and sufficient for bindings of the receptors to their ephrin ligands. An adjacent cysteine-rich region might be involved in receptor-receptor oligomerization often observed on ligand binding, whereas the next two fibronectin type III repeats have yet to be assigned a clear biological function. The cytoplasmic Eph receptor region contains a kinase domain, a sterile alpha motif (SAM) domain, and a PDZ-binding motif. The ligand-binding domain (LBD) of Eph receptors is unique to this family of RTKs ans shares no significant amino-acid-sequence homology with other known proteins [[cite:PUB00004289], [cite:PUB00010665], [cite:PUB00052266]].

The Eph LBD domain forms a compact globular structure which folds into a jellyroll β-sandwich composed of 11 antiparallel β-strands. It has two antiparallel β-sheets, with the usual left-handed twist, packed against each other to form a compact β-sandwich, and a short 3(10) helix [[cite:PUB00004289], [cite:PUB00010665], [cite:PUB00052266]]."	INTERPRO
PS51550	Eph receptor ligand-binding domain profile	"The Eph receptors, which bind a group of cell-membrane-anchored ligands known
as ephrins, represent the largest subfamily of receptor tyrosine kinases
(RTKs). The Eph receptors and their ephrin ligands control a
diverse array of cell-cell interactions in the nervous and vascular systems.
On ephrin binding, the Eph kinase domain is activated, initiating 'forward'
signaling in the receptor-expressing cells. Simultaneously, signals are also
induced in the ligand-expressing cells a phenomenon referred to as 'reverse'
signalling. The extracellular Eph receptor region contains a conserved 180-
amino-acid N-terminal ligand-binding domain (LBD) which is both necessary and
sufficient for bindings of the receptors to their ephrin ligands. An adjacent
cysteine-rich region might be involved in receptor-receptor oligomerization
often observed on ligand binding, whereas the next two fibronectin type III
repeats have yet to be assigned a clear biological function.
The cytoplasmic Eph receptor region contains a kinase domain, a sterile alpha motif (SAM) domain, and a PDZ-
binding motif. The ligand-binding domain (LBD) of Eph receptors is unique to
this family of RTKs ans shares no significant amino-acid-sequence homology
with other known proteins [[cite:PUB00004289]][[cite:PUB00010665]][[cite:PUB00052266]].

The Eph LBD domain forms a compact globular structure which folds into a
jellyroll beta-sandwich composed of 11 antiparallel beta-strands. It has two antiparallel beta-sheets, with the usual left-handed
twist, packed against each other to form a compact beta-sandwich, and a short
3(10) helix [[cite:PUB00004289]][[cite:PUB00010665]][[cite:PUB00052266]].

The profile we developed covers the entire Eph LBD domain."	PROFILE
IPR008983	Tumour necrosis factor-like domain superfamily	"The tumour necrosis factor (TNF)-like domains are found in both TNF and C1q protein families.  Structurally these domains self-associate to make a compact bell-shaped homotrimer, each monomer being composed of an anti-parallel β-sheet sandwich with a jellyroll topology.  Both TNF and C1q family members can be expressed as soluble plasma proteins or as type II membrane-bound proteins.



TNF family members bind extracellularly to cysteine-rich receptors, thereby inducing a clustering of the receptors, which subsequently triggers the intracellular apoptotic cascade.  The TNF proteins are important mediators in inflammation, immune responses and cytotoxicity through their interaction with the TNF-R55 and the TNF-R75 cell-surface receptors [[cite:PUB00010672]].  Other TNF family members include the CD40 ligand (C-terminal TNF-like domain) which is involved in the immune response via the CD40 receptor [[cite:PUB00010301]]; TRAIL, which selectively induces apoptosis in tumour cells via DR4 and DR5 receptors [[cite:PUB00010673]]; the RANK ligand (TNFSF11), which triggers osteoclastogenesis via the RANK receptor [[cite:PUB00010674]]; and TALL-1 (soluble domain), which is involved in the immune response via the TACI, BCMA, and BAFF-R receptors [[cite:PUB00010675]].



C1q proteins also contain TNF-like domains.  C1q family members include the Adiponectin/ACRP30 (C-terminal TNF-like domain), which regulates metabolism and energy homeostasis [[cite:PUB00088215]], and NC1 (non-collagenous domain 1), the C-terminal TNF-like domain of collagen X, which is crucial for collagen X assembly in bone tissue [[cite:PUB00010676]]."	INTERPRO
PS00289	Pentraxin domain signature	"Pentraxins (earlier also termed pentaxins), named for their homopentameric
quaternary structure, are a superfamily of multifunctional conserved proteins
that are characterized by a cyclic multimeric structure and by the presence in
their carboxyl-terminal of an ~200 aa-long conserved domain, called pentraxin
(PTX) domain. In addition, all the members of this family share an 8 aa-long
conserved sequence (HxCxS/TWxS, in which x is any amino acid) in the pentraxin
domain, called pentraxin signature. Some pentraxins, together with collectins
and ficolins, constitute the humoral arm of innate immunity and behave as
functional ancestors of Abs by mediating agglutination, complement activation,
and opsonisation [[cite:PUB00000009]][[cite:PUB00001068]][[cite:PUB00109114]]. They are divided into short:

 - C-reactive protein (CRP), a protein which, in  mammals, is expressed during
   acute phase response to tissue injury or inflammation. CRP displays several
   functions  associated  with   host  defense:  it  promotes   agglutination,
   bacterial capsular swelling, phagocytosis  and complement  fixation through
   its calcium-dependent binding  to phosphorylcholine.   CRPs  have also been
   sequenced in an invertebrate, the Atlantic horseshoe crab, where they are a
   normal constituent of the hemolymph.
 - Serum Amyloid P-component (SAP), a precursor of amyloid  component P  which
   is found in basement membrane and is associated with amyloid deposits.
 - Hamster  female  protein  (FP),  a  plasma  protein  whose concentration is
   altered by sex steroids and stimuli that elicit an acute phase response.

and long pentraxins:

 - Human PTX3 (or TSG-14). PTX3 is a cytokine-induced protein.
 - Vertebrate PTX4 [[cite:PUB00109114]].
 - Guinea  pig  apexin  [[cite:PUB00002885]], a sperm acrosomal protein. Apexin seems to be the
   ortholog of human neuronal pentraxin II (gene NPTX2) [[cite:PUB00001965]].
 - Rat neuronal pentraxin I [[cite:PUB00004314]].

The pentraxin domain has also been found in multidomain proteins, such as:

 - Mammalian  polydom,  an  extracellular protein which includes an N-terminal
   von Willebrand  factor  A  domain, hyalin repeats (HYRs),    epidermal   growth   factor   repeats   (EGFs), sushi  domains,  and  a  single pentraxin
   domain.
 - Vertebrate  adhesion  G-protein-coupled  receptors  (GPRs),  in  particular
   GPR144, GPR112, and GPR126.

The function of these proteins has not been defined yet, nor has the role of
the pentraxin domain in multidomain proteins.

The pentraxin domain consists of two anti-parallel beta-sheets in the form of
a flattened beta-barrel with a jellyroll topology [[cite:PUB00109115]][[cite:PUB00021698]].

The pentraxin domain is related to the laminin G (LamG) and
thrombospondin N-terminal (TspN) domains [[cite:PUB00003384]].

The sequences of the different members of this family are quite conserved. As
a signature, we selected a six residue pattern which includes a cysteine
known to be involved in a disulfide bridge in CRPs and SAP. We have also
developed a profile that covers the entire pentraxin domain."	PROSITE
IPR005084	Carbohydrate binding module family 6	"This entry represents [cazy:CBM6] which was previously known as cellulose-binding domain family VI (CBD VI).  CBM6 bind to amorphous cellulose, xylan, mixed beta-(1,3)(1,4)glucan and beta-1,3-glucan [[cite:PUB00032219], [cite:PUB00033743], [cite:PUB00031940]].

CBM6 adopts a classic lectin-like β-jelly roll fold, predominantly consisting of five antiparallel β-strands on one face and four antiparallel β-strands on the other face. It contains two potential ligand binding sites, named respectively cleft A and B. These clefts include aromatic residues which are probably involved in the substrate binding. The cleft B is located on the concave surface of one β-sheet, and the cleft A on one edge of the protein between the loop that connects the inner and outer β-sheets of the jellyroll fold [[cite:PUB00033744]]. The multiple binding clefts confer the extensive range of specificities displayed by the domain [[cite:PUB00032219], [cite:PUB00033743], [cite:PUB00031940]]. A carbohydrate-binding module (CBM) is defined as a contiguous amino acid sequence within a carbohydrate-active enzyme with a discreet fold having carbohydrate-binding activity. A few exceptions are CBMs in cellulosomal scaffolding proteins and rare instances of independent putative CBMs. The requirement of CBMs existing as modules within larger enzymes sets this class of carbohydrate-binding protein apart from other non-catalytic sugar binding proteins such as lectins and sugar transport proteins.



CBMs were previously classified as cellulose-binding domains (CBDs) based on the initial discovery of several modules that bound cellulose [[cite:PUB00054922], [cite:PUB00054923]]. However, additional modules in carbohydrate-active enzymes are continually being found that bind carbohydrates other than cellulose yet otherwise meet the CBM criteria, hence the need to reclassify these polypeptides using more inclusive terminology.



Previous classification of cellulose-binding domains were based on amino acid similarity. Groupings of CBDs were called ""Types"" and numbered with roman numerals (e.g. Type I or Type II CBDs). In keeping with the glycoside hydrolase classification, these groupings are now called families and numbered with Arabic numerals. Families 1 to 13 are the same as Types I to XIII. For a detailed review on the structure and binding modes of CBMs see [[cite:PUB00054924]]."	INTERPRO
IPR002960	Lymphotoxin-alpha	"Cytokines can be grouped into a family on the basis of sequence, functional and structural similarities [[cite:PUB00002042], [cite:PUB00004130], [cite:PUB00015257]]. Tumor necrosis factor (TNF) (also known as TNF-alpha or cachectin) is a monocyte-derived cytotoxin that has been implicated in tumour regression, septic shock and cachexia [[cite:PUB00006091], [cite:PUB00006095]]. The protein is synthesised as a prohormone with an unusually long and atypical signal sequence, which is absent from the mature secreted cytokine [[cite:PUB00006101]]. A short hydrophobic stretch of amino acids serves to anchor the prohormone in lipid bilayers [[cite:PUB00006098]]. Both the mature protein and a partially-processed form of the hormone are secreted after cleavage of the propeptide [[cite:PUB00006098]].

There are a number of different families of TNF, but all these cytokines seem to form homotrimeric (or heterotrimeric in the case of LT-alpha/beta) complexes that are recognised by their specific receptors. Lymphotoxin-alpha (LT-alpha or TNF-beta) and lymphotoxin-beta (LT-beta) are related cytokines produced by lymphocytes. The proteins are cytotoxic for a wide range of tumour cells in vitro and in vivo.

The structure of TNF-beta has been determined to 1.9 A using X-ray crystallography and phase determination via molecular replacement using TNF-alpha. Like TNF-alpha, lymphotoxin folds to form a 'jellyroll' β-sheet sandwich. Three-fold related LT subunits form a trimer primarily stabilised by hydrophobic interactions. A cluster of 6 basic residues around the 3-fold axis is thought to account for the acid lability of the trimer. Although the structural cores of TNF-alpha and LT are similar, insertions and deletions relative to TNF-alpha occur in loops at the 'top' of the LT trimer, significantly altering the local structure. The sites of two mutations (Asp-50 and Tyr-108) that abolish the cytotoxicity of LT are contained within poorly-ordered loops that flank the cleft between neighbouring subunits at the base of the molecule, suggesting that the receptor recognises an intersubunit binding site [[cite:PUB00005996]]."	INTERPRO
